127.0.0.1 - - [10/May/2024:20:32:25 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/May/2024:20:32:37 +0700] "GET /hoangkimmobile/image/iphone3.jpg HTTP/1.1" 200 33964
0:0:0:0:0:0:0:1 - - [10/May/2024:20:32:37 +0700] "GET /hoangkimmobile/image/iphone2.jpg HTTP/1.1" 200 36383
0:0:0:0:0:0:0:1 - - [10/May/2024:20:32:37 +0700] "GET /hoangkimmobile/image/iphone4.jpg HTTP/1.1" 200 37528
0:0:0:0:0:0:0:1 - - [10/May/2024:20:32:38 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [10/May/2024:20:33:44 +0700] "GET /hoangkimmobile/LoginServlet HTTP/1.1" 200 14220
0:0:0:0:0:0:0:1 - - [10/May/2024:20:33:44 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [10/May/2024:20:33:44 +0700] "GET /hoangkimmobile/js/login.js HTTP/1.1" 200 1608
0:0:0:0:0:0:0:1 - - [10/May/2024:20:33:44 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [10/May/2024:20:33:49 +0700] "POST /hoangkimmobile/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2024:20:33:49 +0700] "GET /hoangkimmobile/ListServlet HTTP/1.1" 200 23986
0:0:0:0:0:0:0:1 - - [10/May/2024:20:33:49 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [10/May/2024:20:33:49 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [10/May/2024:20:33:53 +0700] "GET /hoangkimmobile/ProductDetailServlet?productID=3 HTTP/1.1" 200 15002
0:0:0:0:0:0:0:1 - - [10/May/2024:20:33:53 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [10/May/2024:20:33:53 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [10/May/2024:20:33:54 +0700] "POST /hoangkimmobile/AddToCartServlet?action=add&id=3 HTTP/1.1" 200 14480
0:0:0:0:0:0:0:1 - - [10/May/2024:20:33:54 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [10/May/2024:20:33:54 +0700] "GET /hoangkimmobile/js/cart.js HTTP/1.1" 200 1626
0:0:0:0:0:0:0:1 - - [10/May/2024:20:33:54 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [10/May/2024:20:33:56 +0700] "POST /hoangkimmobile/AddToCartServlet?action=updateQuantity&id=3 HTTP/1.1" 200 14481
0:0:0:0:0:0:0:1 - - [10/May/2024:20:33:56 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [10/May/2024:20:33:56 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [10/May/2024:20:33:57 +0700] "GET /hoangkimmobile/PayServlet?action=checkout HTTP/1.1" 200 15696
0:0:0:0:0:0:0:1 - - [10/May/2024:20:33:57 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [10/May/2024:20:33:57 +0700] "GET /hoangkimmobile/js/order.js HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - - [10/May/2024:20:33:57 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [10/May/2024:20:34:02 +0700] "GET /hoangkimmobile/SaveProfileServlet HTTP/1.1" 200 16396
0:0:0:0:0:0:0:1 - - [10/May/2024:20:34:02 +0700] "GET /hoangkimmobile/uploads/Screenshot%202023-12-03%20223756.png HTTP/1.1" 200 34741
0:0:0:0:0:0:0:1 - - [10/May/2024:20:34:02 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [10/May/2024:20:34:02 +0700] "GET /hoangkimmobile/js/register.js HTTP/1.1" 200 4417
0:0:0:0:0:0:0:1 - - [10/May/2024:20:34:02 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [10/May/2024:20:34:05 +0700] "GET /hoangkimmobile/AddToCartServlet HTTP/1.1" 200 14481
0:0:0:0:0:0:0:1 - - [10/May/2024:20:34:05 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [10/May/2024:20:34:05 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [10/May/2024:20:34:06 +0700] "GET /hoangkimmobile/PayServlet?action=checkout HTTP/1.1" 200 15696
0:0:0:0:0:0:0:1 - - [10/May/2024:20:34:06 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [10/May/2024:20:34:06 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [10/May/2024:20:34:08 +0700] "POST /hoangkimmobile/PayServlet HTTP/1.1" 200 15774
0:0:0:0:0:0:0:1 - - [10/May/2024:20:34:08 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [10/May/2024:20:34:08 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [10/May/2024:20:34:12 +0700] "POST /hoangkimmobile/PayServlet HTTP/1.1" 200 15774
0:0:0:0:0:0:0:1 - - [10/May/2024:20:34:12 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [10/May/2024:20:34:12 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [10/May/2024:20:34:41 +0700] "GET /hoangkimmobile/ListServlet HTTP/1.1" 200 23986
0:0:0:0:0:0:0:1 - - [10/May/2024:20:34:41 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [10/May/2024:20:34:41 +0700] "GET /hoangkimmobile/css/nice-select.css HTTP/1.1" 404 793
